Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-September-2018,602.00,610.00,598.25,600.50,604.861065253280041706,391306,4819,236685764.00,63514,16.23,11.75,-1.50
31-August-2018,609.00,614.30,600.00,601.65,606.539206849129607593,561356,7179,340484423.00,59974,10.68,14.30,-7.35
30-August-2018,593.70,610.00,590.70,608.30,604.918457126555860847,732633,11080,443183224.00,148921,20.33,19.30,14.60
29-August-2018,591.00,602.80,585.60,594.05,597.409991896939148459,1348873,11281,805830208.00,608099,45.08,17.20,3.05
28-August-2018,582.00,593.00,578.25,589.35,586.605092293128646633,613751,7805,360029462.00,72509,11.81,14.75,7.35
27-August-2018,581.00,586.80,579.05,581.05,583.096932247210535461,379822,5323,221473043.00,74383,19.58,7.75,0.05
24-August-2018,570.50,579.00,568.00,575.45,575.276007959789512249,398503,5703,229249215.00,68828,17.27,11.00,4.95
23-August-2018,585.90,586.00,570.30,571.50,575.063083262038921831,508455,6448,292393700.00,92163,18.13,15.70,-14.40
21-August-2018,602.00,603.50,580.15,582.25,588.719953516398381682,813190,9674,478741179.00,152992,18.81,23.35,-19.75
20-August-2018,584.25,601.60,583.20,599.40,594.002896457459411484,774049,14906,459787348.00,173147,22.37,18.40,15.15
17-August-2018,571.20,585.10,571.00,580.60,581.267593089477721179,711842,13413,413770686.00,167365,23.51,14.10,9.40
16-August-2018,570.00,576.80,564.00,568.10,570.765887745374138963,502447,6945,286779608.00,61022,12.14,12.80,-1.90
14-August-2018,584.00,587.00,562.45,578.90,574.116846295191967380,2062590,24572,1184167666.00,549652,26.65,24.55,-5.10
13-August-2018,574.95,581.90,566.45,569.20,574.238173569041636290,540442,7209,310342427.00,59258,10.96,15.45,-5.75
10-August-2018,586.00,586.50,573.15,575.55,579.419165747485447814,366268,4910,212222699.00,63548,17.35,13.35,-10.45
9-August-2018,580.00,587.00,576.25,585.10,583.054669108030342662,435822,5836,254108052.00,75362,17.29,10.75,5.10
8-August-2018,578.00,583.00,574.10,577.65,578.778045862384394440,702929,11073,406839873.00,117311,16.69,8.90,-0.35
7-August-2018,554.40,577.00,553.90,573.40,565.183409066491395491,791155,9538,447147680.00,172949,21.86,23.10,19.00
6-August-2018,559.50,564.55,551.00,553.40,558.776262741301748192,351220,6723,196253399.00,71706,20.42,13.55,-6.10
3-August-2018,556.80,560.25,551.25,555.10,555.772646092794519624,504491,6347,280382298.00,93069,18.45,9.00,-1.70
2-August-2018,553.90,561.15,540.55,554.50,552.578534986469638558,696212,9533,384711807.00,137503,19.75,20.60,0.60
1-August-2018,565.00,567.50,551.30,554.65,558.892227396302914199,403507,5631,225516926.00,52001,12.89,16.20,-10.35
31-July-2018,553.90,564.50,543.40,562.85,553.838289454215253271,493363,6307,273243320.00,95983,19.45,21.10,8.95
30-July-2018,551.00,558.30,548.00,552.60,553.028750968935840362,326389,4424,180502501.00,35119,10.76,10.30,1.60
27-July-2018,535.20,553.60,535.20,549.45,546.859805843663040728,569232,7615,311290101.00,108789,19.11,18.40,14.25
